200, 190, 12.4
200, 210, 12.4
201, 191, 12.4
201, 209, 12.4
202, 192, 12.4
202, 208, 12.4
203, 193, 12.4
203, 195, 12.4
203, 197, 12.4
203, 198, 12.4
203, 200, 12.4
203, 201, 12.4
203, 203, 12.4
203, 204, 12.4
203, 206, 12.4
203, 207, 12.4
205, 193, 12.4
205, 207, 12.4
207, 193, 12.4
207, 194, 12.4
207, 196, 12.4
207, 197, 12.4
207, 199, 12.4
207, 200, 12.4
207, 202, 12.4
207, 203, 12.4
207, 205, 12.4
207, 207, 12.4
208, 192, 12.4
208, 197, 12.4
208, 208, 12.4
209, 191, 12.4
209, 197, 12.4
209, 209, 12.4
210, 190, 12.4
210, 197, 12.4
210, 210, 12.4
150, 190, 17.4
150, 210, 17.4
151, 191, 17.4
151, 209, 17.4
152, 192, 17.4
152, 208, 17.4
153, 193, 17.4
153, 206, 17.4
153, 207, 17.4
154, 193, 17.4
154, 207, 17.4
155, 193, 17.4
155, 207, 17.4
156, 193, 17.4
157, 207, 17.4
158, 193, 17.4
158, 207, 17.4
159, 193, 17.4
159, 207, 17.4
160, 193, 17.4
160, 207, 17.4
161, 193, 17.4
161, 207, 17.4
162, 193, 17.4
162, 207, 17.4
163, 193, 17.4
163, 207, 17.4
164, 193, 17.4
164, 207, 17.4
165, 193, 17.4
165, 207, 17.4
166, 193, 17.4
167, 207, 17.4
168, 193, 17.4
168, 207, 17.4
169, 193, 17.4
169, 207, 17.4
170, 193, 17.4
170, 207, 17.4
171, 193, 17.4
171, 207, 17.4
172, 193, 17.4
172, 207, 17.4
173, 193, 17.4
173, 207, 17.4
174, 193, 17.4
174, 207, 17.4
175, 193, 17.4
175, 207, 17.4
176, 193, 17.4
177, 207, 17.4
178, 193, 17.4
178, 207, 17.4
179, 193, 17.4
179, 207, 17.4
180, 193, 17.4
180, 207, 17.4
181, 193, 17.4
181, 207, 17.4
182, 193, 17.4
182, 207, 17.4
183, 193, 17.4
183, 207, 17.4
184, 193, 17.4
184, 207, 17.4
185, 193, 17.4
186, 193, 17.4
186, 207, 17.4
187, 207, 17.4
188, 193, 17.4
188, 207, 17.4
189, 193, 17.4
189, 207, 17.4
190, 193, 17.4
190, 207, 17.4
191, 193, 17.4
191, 207, 17.4
192, 193, 17.4
192, 207, 17.4
193, 193, 17.4
193, 207, 17.4
194, 193, 17.4
194, 207, 17.4
195, 193, 17.4
196, 207, 17.4
197, 193, 17.4
197, 207, 17.4
